track type=wiggle_0 name="GM12878" description="H3K4Me1 Mark (Often Found Near Regulatory Elements) on GM12878 Cells from ENCODE"
#bedGraph section chr1:10100-89450
chr1	10100	10125	0.48
chr1	10125	10225	1
chr1	10225	10250	1.4
chr1	10250	10275	2.2
chr1	10275	10300	2.92
chr1	10300	10400	2
chr1	10400	10425	2.2
chr1	10425	10450	2
chr1	10450	10475	1.2
chr1	10475	10600	1
chr1	10600	10625	0.2
chr1	11175	11200	0.28
chr1	11200	11375	1
chr1	11375	11400	0.12
chr1	11400	11425	0.16
chr1	11425	11525	1
chr1	11525	11550	1.84
chr1	11550	11600	2
chr1	11600	11625	1.8
chr1	11625	11650	2.16
chr1	11650	11675	4.12
chr1	11675	11700	5
chr1	11700	11725	4.56
chr1	11725	11775	4
chr1	11775	11800	3.84
chr1	11800	11825	3.6
chr1	11825	11850	2.92
chr1	11850	11875	1
chr1	11875	11900	1.76
chr1	11900	11950	2
chr1	11950	11975	2.84
chr1	11975	12000	2.8
chr1	12000	12025	2.84
chr1	12025	12050	3.24
chr1	12050	12075	3.64
chr1	12075	12100	3
chr1	12100	12125	3.64
chr1	12125	12150	3.56
chr1	12150	12175	3.32
chr1	12175	12200	3.56
chr1	12200	12225	3.28
chr1	12225	12250	3.8
chr1	12250	12275	4
chr1	12275	12300	4.28
chr1	12300	12325	4.76
chr1	12325	12350	5
chr1	12350	12375	4.08
chr1	12375	12400	4
chr1	12400	12425	2.88
chr1	12425	12450	2
chr1	12450	12475	1.88
chr1	12475	12500	0.64
chr1	12500	12525	0.44
chr1	12525	12675	1
chr1	12675	12700	1.48
chr1	12700	12850	1
chr1	12850	12875	0.88
chr1	13175	13200	0.72
chr1	13200	13225	1.84
chr1	13225	13350	2
chr1	13350	13375	2.12
chr1	13375	13400	1.56
chr1	13400	13450	1
chr1	13450	13475	1.6
chr1	13475	13525	2
chr1	13525	13550	1.96
chr1	13550	13575	1
chr1	13575	13600	2.08
chr1	13600	13625	3
